comuna,region,artes_votos,artes_pct,enriquez_ominami_votos,enriquez_ominami_pct,jara_votos,jara_pct,kaiser_votos,kaiser_pct,kast_votos,kast_pct,matthei_votos,matthei_pct,mayne_nicholls_votos,mayne_nicholls_pct,parisi_votos,parisi_pct,blanco_votos,blanco_pct,emitidos_votos,emitidos_pct,nulo_votos,nulo_pct
Alto del Carmen,Atacama,14,0.39,49,1.35,759,20.93,401,11.06,611,16.85,213,5.87,14,0.39,1565,43.16,67,1.76,3810,100.0,117,3.07
Caldera,Atacama,70,0.51,161,1.18,4156,30.46,1964,14.39,2201,16.13,982,7.2,117,0.86,3993,29.27,147,1.04,14170,100.0,379,2.67
Chañaral,Atacama,34,0.38,99,1.1,2785,30.99,909,10.11,1445,16.08,528,5.88,78,0.87,3109,34.59,116,1.23,9399,100.0,296,3.15
Copiapo,Atacama,672,0.63,1275,1.19,27744,25.89,14439,13.48,21704,20.26,7367,6.88,1253,1.17,32695,30.51,1314,1.18,111212,100.0,2749,2.47
Diego de Almagro,Atacama,30,0.38,93,1.17,2432,30.65,917,11.56,1249,15.74,334,4.21,59,0.74,2820,35.54,123,1.47,8361,100.0,304,3.64
Freirina,Atacama,20,0.38,46,0.86,1451,27.28,535,10.06,845,15.89,278,5.23,40,0.75,2103,39.54,96,1.72,5575,100.0,161,2.89
Huasco,Atacama,29,0.41,87,1.23,2130,30.2,931,13.2,1057,14.99,348,4.93,56,0.79,2415,34.24,115,1.55,7405,100.0,237,3.2
Tierra Amarilla,Atacama,40,0.39,111,1.08,2136,20.84,1209,11.8,1857,18.12,433,4.22,98,0.96,4365,42.59,179,1.67,10694,100.0,266,2.49
Vallenar,Atacama,199,0.53,412,1.09,9796,25.87,5191,13.71,6988,18.46,2212,5.84,328,0.87,12733,33.63,592,1.49,39834,100.0,1383,3.47
Andacollo,Coquimbo,52,0.56,133,1.42,3276,35.07,1059,11.34,1435,15.36,832,8.91,69,0.74,2484,26.6,224,2.26,9905,100.0,341,3.44
Canela,Coquimbo,49,0.64,104,1.35,2648,34.47,695,9.05,1523,19.82,487,6.34,73,0.95,2104,27.39,145,1.81,8004,100.0,176,2.2
Combarbala,Coquimbo,43,0.44,129,1.32,2818,28.91,1264,12.97,1840,18.88,911,9.35,70,0.72,2673,27.42,223,2.16,10326,100.0,355,3.44
Coquimbo,Coquimbo,987,0.62,2074,1.3,43918,27.48,22979,14.38,29267,18.32,17223,10.78,2047,1.28,41302,25.85,2179,1.3,167795,100.0,5819,3.47
Illapel,Coquimbo,108,0.46,273,1.16,7290,30.98,2507,10.65,4311,18.32,1861,7.91,234,0.99,6945,29.52,371,1.51,24582,100.0,682,2.77
Monte Patria,Coquimbo,112,0.49,313,1.36,4813,20.94,2778,12.08,4510,19.62,1302,5.66,157,0.68,9004,39.17,474,1.96,24152,100.0,689,2.85
Ovalle,Coquimbo,396,0.49,940,1.17,19802,24.73,10536,13.16,16334,20.4,6221,7.77,695,0.87,25148,31.41,1291,1.54,83715,100.0,2352,2.81
Paihuano,Coquimbo,30,0.7,66,1.54,1116,25.98,622,14.48,886,20.63,481,11.2,33,0.77,1061,24.7,52,1.16,4469,100.0,122,2.73
la Higuera,Coquimbo,21,0.54,46,1.18,1078,27.69,463,11.89,666,17.11,269,6.91,27,0.69,1323,33.98,71,1.73,4108,100.0,144,3.51
la Serena,Coquimbo,1118,0.67,1818,1.09,47961,28.72,24524,14.68,31644,18.95,21035,12.59,2343,1.4,36575,21.9,1935,1.11,174173,100.0,5220,3.0
los Vilos,Coquimbo,91,0.56,195,1.2,5182,31.99,2117,13.07,3157,19.49,1581,9.76,168,1.04,3710,22.9,234,1.38,16939,100.0,504,2.98
Alto Hospicio,Tarapacá,327,0.56,627,1.07,9970,17.08,7370,12.63,11744,20.12,2764,4.74,504,0.86,25061,42.94,599,0.99,60526,100.0,1560,2.58
Camiña,Tarapacá,0,0.0,6,0.35,122,7.21,179,10.58,608,35.93,48,2.84,0,0.0,729,43.09,9,0.52,1730,100.0,29,1.68
Colchane,Tarapacá,2,0.16,8,0.66,25,2.06,81,6.68,387,31.9,12,0.99,3,0.25,695,57.3,5,0.41,1223,100.0,5,0.41
Huara,Tarapacá,10,0.38,28,1.06,447,16.89,353,13.34,685,25.89,131,4.95,14,0.53,978,36.96,25,0.92,2726,100.0,55,2.02
Iquique,Tarapacá,715,0.56,1438,1.13,31793,25.03,19814,15.6,30117,23.71,10597,8.34,1735,1.37,30814,24.26,1379,1.05,131590,100.0,3188,2.42
Pica,Tarapacá,21,0.41,59,1.16,1131,22.26,834,16.41,1004,19.76,298,5.86,37,0.73,1698,33.41,44,0.84,5233,100.0,107,2.04
Pozo Almonte,Tarapacá,40,0.41,114,1.17,1744,17.88,1354,13.88,1962,20.11,442,4.53,61,0.63,4037,41.39,118,1.17,10079,100.0,207,2.05
